Kingdom,Phylum,Class,Order,Family,Genus,Species
k__Bacteria;,p__Bacteroidota;,c__Bacteroidia;,o__AKYH767;,f__B-17BO;,g__UBA2475;,MJ031-2-barcode67-umi45912bins-ubs-4
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__Legionellales_A;,f__Legionellaceae_A;,g__Legionella_D;,MJ031-2-barcode67-umi43285bins-ubs-5
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__Methylococcales;,f__Methylomonadaceae;,g__Methylobacter_A_601752;,MJ031-2-barcode67-umi42934bins-ubs-5
k__Bacteria;,p__Desulfobacterota_G_459544;,c__BSN033;,o__BSN033;,f__UBA1163;,g__DTGX01;,MJ031-2-barcode67-umi50271bins-ubs-3
k__Bacteria;,p__Omnitrophota;,c__Koll11;,o__GIF10;,f__UBA6249;,g__GCA-002774445;,MJ031-2-barcode67-umi49961bins-ubs-3
k__Bacteria;,p__Desulfobacterota_I;,c__DSM-4660;,o__Desulfatiglandales;,f__Desulfatiglandaceae;,g__B111-G9;,MJ031-2-barcode67-umi50324bins-ubs-3
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__Methylococcales;,f__Methylomonadaceae;,g__KS41;,MJ031-2-barcode67-umi51699bins-ubs-3
k__Bacteria;,p__Bacteroidota;,c__Bacteroidia;,o__AKYH767;,f__B-17BO;,g__UBA2475;,MJ031-2-barcode67-umi52308bins-ubs-3
k__Bacteria;,p__Desulfobacterota_G_459544;,c__Syntrophia;,o__Syntrophales;,f__Smithellaceae;,g__Smithella_445204;,MJ031-2-barcode67-umi5006bins-ubs-82
k__Bacteria;,p__Omnitrophota;,c__Koll11;,o__UBA10015;,f__Kpj58rc;,g__Unclassified;,MJ031-2-barcode67-umi50906bins-ubs-3
k__Bacteria;,p__Omnitrophota;,c__Koll11;,o__UBA6215;,f__UBA6215;,g__UBA6215;,MJ031-2-barcode67-umi49828bins-ubs-3
k__Bacteria;,p__Cyanobacteria;,c__Cyanobacteriia;,o__Cyanobacteriales;,f__Coleofasciculaceae_23353;,g__SIO2C1;,MJ031-2-barcode67-umi515bins-ubs-463
k__Bacteria;,p__Desulfobacterota_G_459544;,c__WTBG01;,o__CAIYCZ01;,f__CAIYCZ01;,g__DSVK01;,MJ031-2-barcode67-umi51602bins-ubs-3
k__Bacteria;,p__Nitrospirota_A_437815;,c__Thermodesulfovibrionia;,o__Thermodesulfovibrionales;,f__SM23-35;,g__0-14-3-00-41-53;,MJ031-2-barcode67-umi49982bins-ubs-3
k__Bacteria;,p__Bacteroidota;,c__UBA10030;,o__UBA10030;,f__UBA10030;,g__Unclassified;,MJ031-2-barcode67-umi50152bins-ubs-3
k__Bacteria;,p__Omnitrophota;,c__Koll11;,o__UBA6215;,f__UBA6215;,g__UBA6215;,MJ031-2-barcode67-umi50620bins-ubs-3
k__Bacteria;,p__Bacteroidota;,c__Bacteroidia;,o__Chitinophagales;,f__Unclassified;,g__Unclassified;,MJ031-2-barcode67-umi51124bins-ubs-3
k__Bacteria;,p__Nitrospirota_A_437815;,c__Thermodesulfovibrionia;,o__Thermodesulfovibrionales;,f__SM23-35;,g__0-14-3-00-41-53;,MJ031-2-barcode67-umi51396bins-ubs-3
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__Burkholderiales_597441;,f__Thiobacillaceae;,g__Unclassified;,MJ031-2-barcode67-umi5086bins-ubs-83
k__Bacteria;,p__Omnitrophota;,c__Koll11;,o__UBA6215;,f__UBA6215;,g__UBA6215;,MJ031-2-barcode67-umi51340bins-ubs-3
k__Bacteria;,p__Bacteroidota;,c__Bacteroidia;,o__AKYH767;,f__2-12-FULL-35-15;,g__2-12-FULL-35-15;,MJ031-2-barcode67-umi3478bins-ubs-119
k__Bacteria;,p__Desulfobacterota_G_459544;,c__Syntrophia;,o__Syntrophales;,f__Syntrophaceae;,g__Unclassified;,MJ031-2-barcode67-umi32869bins-ubs-11
k__Bacteria;,p__SZUA-79;,c__SZUA-79;,o__Acidulodesulfobacterales;,f__Unclassified;,g__Unclassified;,MJ031-2-barcode67-umi33947bins-ubs-11
k__Bacteria;,p__Bacteroidota;,c__Bacteroidia;,o__Bacteroidales;,f__Lentimicrobiaceae;,g__Lentimicrobium;,MJ031-2-barcode67-umi3320bins-ubs-120
k__Bacteria;,p__Cyanobacteria;,c__Cyanobacteriia;,o__Cyanobacteriales;,f__Coleofasciculaceae_23353;,g__SIO2C1;,MJ031-2-barcode67-umi340bins-ubs-601
k__Bacteria;,p__Nitrospirota_A_437815;,c__Thermodesulfovibrionia;,o__Thermodesulfovibrionales;,f__SM23-35;,g__0-14-3-00-41-53;,MJ031-2-barcode67-umi34599bins-ubs-9
k__Bacteria;,p__Bacteroidota;,c__Bacteroidia;,o__Chitinophagales;,f__Chitinophagaceae_966727;,g__Unclassified;,MJ031-2-barcode67-umi3337bins-ubs-119
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__Burkholderiales_597441;,f__Methylophilaceae;,g__Novimethylophilus;,MJ031-2-barcode67-umi32320bins-ubs-10
k__Bacteria;,p__Bacteroidota;,c__Bacteroidia;,o__Bacteroidales;,f__Lentimicrobiaceae;,g__Lentimicrobium;,MJ031-2-barcode67-umi35121bins-ubs-9
k__Bacteria;,p__Desulfobacterota_G_459544;,c__BSN033;,o__BSN033;,f__UBA1163;,g__DTGX01;,MJ031-2-barcode67-umi32889bins-ubs-10
k__Bacteria;,p__Bdellovibrionota_E;,c__FAC87;,o__UBA2466;,f__UBA2466;,g__Unclassified;,MJ031-2-barcode67-umi32012bins-ubs-11
k__Bacteria;,p__Desulfobacterota_G_459544;,c__SM23-61;,o__SM23-61;,f__SM23-61;,g__SM23-61;,MJ031-2-barcode67-umi35081bins-ubs-9
k__Bacteria;,p__Dependentiae;,c__Babeliae;,o__Babeliales;,f__Vermiphilaceae;,g__GWF2-30-66;,MJ031-2-barcode67-umi3273bins-ubs-129
k__Bacteria;,p__Bacteroidota;,c__Bacteroidia;,o__Chitinophagales;,f__Saprospiraceae;,g__OLB9;,MJ031-2-barcode67-umi33094bins-ubs-11
k__Bacteria;,p__Desulfobacterota_G_459544;,c__Syntrophia;,o__Syntrophales;,f__UBA5619;,g__UBA5619;,MJ031-2-barcode67-umi34656bins-ubs-9
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__Burkholderiales_597441;,f__Nitrosomonadaceae;,g__Nitrosomonas;,MJ031-2-barcode67-umi32227bins-ubs-12
k__Bacteria;,p__Desulfobacterota_G_459544;,c__BSN033;,o__BSN033;,f__UBA1163;,g__DTGX01;,MJ031-2-barcode67-umi32148bins-ubs-10
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__UBA9339;,f__UBA9339;,g__UBA9339;,MJ031-2-barcode67-umi3180bins-ubs-130
k__Bacteria;,p__Proteobacteria;,c__Alphaproteobacteria;,o__Micavibrionales;,f__UBA2020;,g__UBA2020;,MJ031-2-barcode67-umi23792bins-ubs-18
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Acetivibrionales;,f__DSM-8532;,g__Unclassified;,MJ031-2-barcode67-umi2364bins-ubs-168
k__Bacteria;,p__Bacteroidota;,c__UBA10030;,o__UBA10030;,f__SZUA-254;,g__SZUA-254;,MJ031-2-barcode67-umi21286bins-ubs-22
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__DSM-16500;,f__DSM-16500;,g__Aquicella_A;,MJ031-2-barcode67-umi21336bins-ubs-21
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__Methylococcales;,f__Methylomonadaceae;,g__KS41;,MJ031-2-barcode67-umi23691bins-ubs-21
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__Burkholderiales_597441;,f__Gallionellaceae;,g__39-52-133;,MJ031-2-barcode67-umi23021bins-ubs-20
k__Bacteria;,p__SZUA-79;,c__SZUA-79;,o__Acidulodesulfobacterales;,f__Unclassified;,g__Unclassified;,MJ031-2-barcode67-umi2181bins-ubs-175
k__Bacteria;,p__Dependentiae;,c__Babeliae;,o__Babeliales;,f__Vermiphilaceae;,g__Vermiphilus;,MJ031-2-barcode67-umi20833bins-ubs-22
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Acetivibrionales;,f__DSM-8532;,g__Unclassified;,MJ031-2-barcode67-umi22861bins-ubs-21
k__Bacteria;,p__Desulfobacterota_I;,c__DSM-4660;,o__Desulfatiglandales;,f__Desulfatiglandaceae;,g__B111-G9;,MJ031-2-barcode67-umi22738bins-ubs-19
k__Bacteria;,p__Omnitrophota;,c__Koll11;,o__GIF10;,f__UBA6249;,g__GCA-002774445;,MJ031-2-barcode67-umi21504bins-ubs-20
k__Bacteria;,p__Bacteroidota;,c__Ignavibacteria;,o__SJA-28;,f__OLB5;,g__OLB5;,MJ031-2-barcode67-umi24099bins-ubs-16
k__Bacteria;,p__Desulfobacterota_G_459544;,c__SM23-61;,o__SM23-61;,f__SM23-61;,g__SM23-61;,MJ031-2-barcode67-umi22035bins-ubs-21
k__Bacteria;,p__Proteobacteria;,c__Alphaproteobacteria;,o__Rhizobiales_A_504723;,f__Aestuariivirgaceae;,g__Aestuariivirga;,MJ031-2-barcode67-umi24189bins-ubs-18
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__Legionellales_A;,f__Legionellaceae_A;,g__Legionella_D;,MJ031-2-barcode67-umi22307bins-ubs-21
k__Bacteria;,p__Patescibacteria;,c__ABY1;,o__BM507;,f__UBA12465;,g__UBA12465;,MJ031-2-barcode67-umi21710bins-ubs-22
k__Bacteria;,p__Proteobacteria;,c__Alphaproteobacteria;,o__Micavibrionales;,f__UBA2020;,g__UBA2020;,MJ031-2-barcode67-umi28291bins-ubs-13
k__Bacteria;,p__Patescibacteria;,c__Saccharimonadia;,o__Saccharimonadales;,f__VXPC01;,g__VXPC01;,MJ031-2-barcode67-umi29151bins-ubs-13
k__Bacteria;,p__Bacteroidota;,c__Bacteroidia;,o__AKYH767;,f__B-17BO;,g__UBA2475;,MJ031-2-barcode67-umi28853bins-ubs-13
k__Bacteria;,p__Bdellovibrionota_E;,c__O2-12-FULL-43-9;,o__2-02-FULL-40-11;,f__2-02-FULL-40-11;,g__2-02-FULL-38-15-A;,MJ031-2-barcode67-umi3085bins-ubs-128
k__Bacteria;,p__Verrucomicrobiota;,c__Verrucomicrobiae;,o__Pedosphaerales;,f__UBA11358;,g__WYBW01;,MJ031-2-barcode67-umi30463bins-ubs-16
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__Burkholderiales_597441;,f__Gallionellaceae;,g__Sideroxydans;,MJ031-2-barcode67-umi29464bins-ubs-13
k__Bacteria;,p__Desulfobacterota_G_459544;,c__Syntrophia;,o__Syntrophales;,f__PHBD01;,g__PHBD01;,MJ031-2-barcode67-umi30263bins-ubs-12
k__Bacteria;,p__Bacteroidota;,c__Ignavibacteria;,o__Ignavibacteriales;,f__Ignavibacteriaceae_785640;,g__IGN2;,MJ031-2-barcode67-umi29185bins-ubs-13
k__Bacteria;,p__Bacteroidota;,c__Bacteroidia;,o__AKYH767;,f__2-12-FULL-35-15;,g__2-12-FULL-35-15;,MJ031-2-barcode67-umi28984bins-ubs-16
k__Bacteria;,p__Dependentiae;,c__Babeliae;,o__Babeliales;,f__Babeliaceae;,g__Babela;,MJ031-2-barcode67-umi28204bins-ubs-13
k__Bacteria;,p__Nitrospirota_A_437815;,c__Thermodesulfovibrionia;,o__Thermodesulfovibrionales;,f__Dissulfurispiraceae;,g__Fen-1308;,MJ031-2-barcode67-umi78754bins-ubs-3
k__Bacteria;,p__Bacteroidota;,c__Kapabacteria;,o__Kapabacteriales;,f__UBA961;,g__UBA961;,MJ031-2-barcode67-umi9349bins-ubs-50
k__Bacteria;,p__Caldisericota;,c__Caldisericia;,o__Unclassified;,f__Unclassified;,g__Unclassified;,MJ031-2-barcode67-umi80bins-ubs-1775
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Peptostreptococcales;,f__Peptostreptococcaceae_256921;,g__Terrisporobacter;,MJ031-2-barcode67-umi932bins-ubs-313
k__Bacteria;,p__Nitrospirota_A_437815;,c__Thermodesulfovibrionia;,o__Thermodesulfovibrionales;,f__SM23-35;,g__0-14-3-00-41-53;,MJ031-2-barcode67-umi8336bins-ubs-51
k__Bacteria;,p__Bacteroidota;,c__Bacteroidia;,o__AKYH767;,f__2-12-FULL-35-15;,g__2-12-FULL-35-15;,MJ031-2-barcode67-umi942bins-ubs-315
k__Bacteria;,p__Proteobacteria;,c__Alphaproteobacteria;,o__Caedimonadales;,f__Unclassified;,g__Unclassified;,MJ031-2-barcode67-umi7950bins-ubs-56
k__Bacteria;,p__Bacteroidota;,c__Bacteroidia;,o__Bacteroidales;,f__VadinHA17_877549;,g__Unclassified;,MJ031-2-barcode67-umi8237bins-ubs-52
k__Bacteria;,p__Cyanobacteria;,c__Cyanobacteriia;,o__Cyanobacteriales;,f__Coleofasciculaceae_23353;,g__SIO2C1;,MJ031-2-barcode67-umi890bins-ubs-322
k__Bacteria;,p__Bacteroidota;,c__Bacteroidia;,o__AKYH767;,f__B-17BO;,g__Unclassified;,MJ031-2-barcode67-umi9332bins-ubs-50
k__Bacteria;,p__Verrucomicrobiota;,c__Verrucomicrobiae;,o__Verrucomicrobiales;,f__Akkermansiaceae;,g__Luteolibacter_776538;,MJ031-2-barcode67-umi7934bins-ubs-53
k__Bacteria;,p__Desulfobacterota_G_459544;,c__Syntrophia;,o__Syntrophales;,f__UBA5619;,g__UBA5619;,MJ031-2-barcode67-umi8820bins-ubs-49
k__Bacteria;,p__CLD3;,c__CLD3;,o__SB21;,f__SB21;,g__SB21;,MJ031-2-barcode67-umi7235bins-ubs-60
k__Bacteria;,p__SZUA-79;,c__SZUA-79;,o__Acidulodesulfobacterales;,f__Unclassified;,g__Unclassified;,MJ031-2-barcode67-umi563bins-ubs-443
k__Bacteria;,p__Dependentiae;,c__Babeliae;,o__Babeliales;,f__Vermiphilaceae;,g__GWF2-30-66;,MJ031-2-barcode67-umi5603bins-ubs-77
k__Bacteria;,p__Desulfobacterota_G_459544;,c__BSN033;,o__BSN033;,f__UBA1163;,g__DTGX01;,MJ031-2-barcode67-umi54042bins-ubs-3
