Kingdom,Phylum,Class,Order,Family,Genus,Species
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Lachnospiraceae_unclassified,s__Lachnospiraceae_bacterium
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Propionibacteriales,f__Kribbellaceae,g__Kribbella,s__Kribbella_jejuensis
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Fundicoccus,s__Fundicoccus_ignavus
k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter,s__Pedobacter_sp_KBW06
k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Winogradskyella,s__Winogradskyella_eckloniae
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micrococcales,f__Demequinaceae,g__Demequina,s__Demequina_iriomotensis
k__Bacteria,p__Firmicutes,c__CFGB76299,o__OFGB76299,f__FGB76299,g__GGB79731,s__GGB79731_SGB41725
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Hephaestia,s__Hephaestia_caeni
k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Spirosomaceae,g__Dyadobacter,s__Dyadobacter_psychrophilus
k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus,s__Peptoniphilus_senegalensis
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Propionibacteriales,f__Propionibacteriaceae,g__Auraticoccus,s__Auraticoccus_cholistanensis
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridium,s__Clostridium_tetani
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micrococcales,f__Microbacteriaceae,g__Microbacterium,s__Microbacterium_esteraromaticum
k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Weeksellaceae,g__Epilithonimonas,s__Epilithonimonas_xixisoli
k__Archaea,p__Crenarchaeota,c__CFGB41581,o__OFGB41581,f__FGB41581,g__GGB53777,s__GGB53777_SGB74931
k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Weeksellaceae,g__Kaistella,s__Kaistella_jeonii
k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Marivirgaceae,g__Marivirga,s__Marivirga_lumbricoides
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Saccharomonospora,s__Saccharomonospora_amisosensis
k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__Flavobacterium_fluviale
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Pelagibacterales,f__Pelagibacteraceae,g__Pelagibacteraceae_unclassified,s__Pelagibacteraceae_bacterium_AG_390_M19
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillales_unclassified,g__Rhodospirillales_unclassified,s__Rhodospirillales_bacterium_TMPK1
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Betaproteobacteria_unclassified,f__Betaproteobacteria_unclassified,g__Candidatus_Accumulibacter,s__Candidatus_Accumulibacter_phosphatis
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_sp_JYMT_SZCCT0428
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_unclassified,f__Clostridia_unclassified,g__GGB30286,s__GGB30286_SGB43247
k__Bacteria,p__Bacteroidetes,c__CFGB76229,o__OFGB76229,f__FGB76229,g__GGB23968,s__GGB23968_SGB35718
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Chromobacteriaceae,g__Chitinibacter,s__Chitinibacter_sp_GC72
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridium,s__Clostridium_massiliamazoniense
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Marinobacteraceae,g__Marinobacter,s__Marinobacter_sp_LV10R510_11A
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Mesobacillus,s__Mesobacillus_jeotgali
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Actinokineospora,s__Actinokineospora_enzanensis
k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__Chryseobacterium_cheonjiense
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,s__Paenibacillus_sp_An7
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Listeriaceae,g__Listeria,s__Listeria_riparia
k__Bacteria,p__Kiritimatiellaeota,c__CFGB30752,o__OFGB30752,f__FGB30752,g__GGB42747,s__GGB42747_SGB59953
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylocaldum,s__Methylocaldum_szegediense
k__Bacteria,p__Bacteroidetes,c__CFGB76747,o__OFGB76747,f__FGB76747,g__GGB56495,s__GGB56495_SGB77908
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Mobilitalea,s__Mobilitalea_sibirica
k__Bacteria,p__Proteobacteria,c__CFGB1935,o__OFGB1935,f__FGB1935,g__GGB43242,s__GGB43242_SGB60539
k__Bacteria,p__Proteobacteria,c__Hydrogenophilalia,o__Hydrogenophilales,f__Hydrogenophilaceae,g__Tepidiphilus,s__Tepidiphilus_baoligensis
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micrococcales,f__Cellulomonadaceae,g__Cellulomonas,s__Cellulomonas_sp_HZM
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus_sp_SD088
k__Bacteria,p__Fusobacteria,c__CFGB8203,o__OFGB8203,f__FGB8203,g__GGB29209,s__GGB29209_SGB41946
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__Nocardioides_sambongensis
k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Halorubraceae,g__Halopenitus,s__Halopenitus_malekzadehii
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacterium,s__Eubacterium_callanderi
k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Entomospira,s__Entomospira_nematocera
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Azospirillaceae,g__Azospirillum,s__Azospirillum_thermophilum
k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Pontimicrobium,s__Pontimicrobium_aquaticum
k__Bacteria,p__Bacteroidetes,c__CFGB46100,o__OFGB46100,f__FGB46100,g__GGB28102,s__GGB28102_SGB40594
k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter,s__Pedobacter_changchengzhani
k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanotrichales,f__Methanotrichaceae,g__GGB54100,s__GGB54100_SGB75290
